X,Y,Z,C2M_distances,C2M_min_max
41.42965317,-13.49969864,20.76929665,13.60254,0.000603
40.40929413,-13.496418,20.6378479,12.631268,28.702689
39.4078598,-13.49197483,20.47772217,11.676825,
38.41153336,-13.48840141,20.29946709,10.728236,
37.42109299,-13.48503971,20.10723877,9.787284,
36.43242645,-13.48302364,19.90218925,8.851992,
35.44641113,-13.48263359,19.68470573,7.930335,
34.46278,-13.48324871,19.45457458,7.034138,
33.48103714,-13.48649597,19.21158028,6.157871,
21.89255142,-13.9849081,14.22644424,-0.340118,
20.95002937,-14.13193417,13.39000797,-0.500207,
19.98612595,-14.28254509,12.44044876,-0.597322,
19.02431679,-14.41286564,11.33701134,-0.599198,
17.92961121,-14.54422665,10.29106998,-0.696075,
16.72961998,-14.52797222,9.18560123,-0.813244,
15.56863594,-14.40037727,8.13352299,-0.885313,
14.35512161,-14.3045311,7.03861713,-0.828508,
13.3704319,-14.22951508,6.28628826,-0.797856,
12.23447514,-14.1524086,5.60382843,-0.817507,
11.27131367,-14.08750534,5.04205704,-0.77565,
10.19169712,-14.05536175,4.53752327,-0.774205,
9.24498749,-14.00609779,4.12828636,-0.748321,
8.22338772,-13.90377045,3.77282143,-0.78521,
7.16719675,-13.94052315,3.48776817,-0.76736,
6.20155382,-13.86660957,3.21525574,-0.763321,
5.15904665,-13.82589817,2.98065376,-0.752463,
4.19472599,-13.78696251,2.82328606,-0.756992,
3.13197851,-13.72112274,2.66717529,-0.759275,
2.13255262,-13.72510624,2.53959084,-0.722742,
1.1658572,-13.66840172,2.47514915,-0.738127,
0.10194301,-13.65567303,2.46504784,-0.753629,
41.43315125,-14.50037575,20.7725563,13.931936,
40.41346359,-14.49617672,20.64811516,12.961433,
39.41073227,-14.4920454,20.49583054,12.006232,
38.41346741,-14.48764515,20.32588959,11.059666,
37.42152405,-14.48480797,20.14221573,10.130812,
36.43149185,-14.48224926,19.94625282,9.214269,
35.44404984,-14.48156357,19.7381897,8.305701,
34.45893097,-14.48198032,19.51883316,7.407246,
33.47387695,-14.48476982,19.28604889,6.521795,
32.4933548,-14.48949718,19.0408287,5.660568,
31.51105309,-14.49834061,18.77990341,4.847853,
30.53420639,-14.50769806,18.50330544,4.100536,
29.55701065,-14.52274895,18.20863342,3.447573,
28.58280945,-14.54271603,17.89249802,2.878999,
27.61284256,-14.56680202,17.55391121,2.33202,
26.64400864,-14.59838295,17.18950462,1.821445,
25.67903137,-14.64712334,16.79660034,1.336881,
24.7189045,-14.68389511,16.36555481,0.871112,
23.751091,-14.76781178,15.89019108,0.462346,
22.79751587,-14.84951305,15.35176277,0.106172,
21.82996941,-14.92229652,14.71218967,-0.210262,
20.87543869,-15.03215027,13.95686722,-0.415976,
19.91588402,-15.19389725,13.09565067,-0.529911,
18.96056366,-15.39558697,12.20183372,-0.593097,
17.94322586,-15.49446774,11.11400318,-0.616501,
16.8276062,-15.5263176,10.08600712,-0.739664,
15.65415668,-15.52732086,9.07850075,-0.834167,
14.47215843,-15.43304348,8.04131031,-0.860243,
13.34539318,-15.28808594,7.09393501,-0.850509,
12.26228809,-15.22485065,6.33268833,-0.817531,
11.24222469,-15.12691116,5.70413971,-0.799704,
10.19329262,-15.05484486,5.1537075,-0.784417,
9.18940067,-14.99787426,4.70555305,-0.776537,
8.17734146,-15.02419472,4.36548042,-0.768631,
7.14746428,-14.94617844,3.98732758,-0.744405,
6.19122171,-14.91123486,3.74869347,-0.769497,
5.11591673,-14.86133766,3.51596832,-0.7739,
4.14619112,-14.85270596,3.33319664,-0.757707,
3.12588954,-14.82415485,3.21274376,-0.783671,
2.09587145,-14.75880241,3.05751419,-0.761049,
1.14309275,-14.7295742,3.01943016,-0.783038,
0.04617896,-14.69761086,2.96439934,-0.763922,
-0.87146461,-14.62097836,2.92020416,-0.745573,
-1.96204448,-14.63051605,2.98763657,-0.757,
-2.90661955,-14.67092514,3.08764076,-0.764924,
-3.95732403,-14.55513477,3.1927681,-0.795237,
-4.9764328,-14.50544739,3.30305862,-0.76951,
-5.99559069,-14.5501585,3.53898811,-0.781119,
-7.05916309,-14.53102493,3.75379372,-0.766398,
-8.02876759,-14.52355957,4.00372696,-0.743265,
-9.08953857,-14.45987511,4.34910583,-0.77188,
-10.13636875,-14.40056133,4.67730522,-0.744778,
-11.14181232,-14.39264011,5.14217186,-0.760396,
-12.20092773,-14.36903858,5.69043541,-0.785294,
-13.22447395,-14.34983349,6.29481506,-0.817204,
-14.3087635,-14.41410446,7.15150642,-0.874342,
-15.41559029,-14.48160267,8.02695084,-0.859596,
-16.55015182,-14.60119438,9.063797,-0.805132,
-17.57805252,-14.6608305,10.05555248,-0.728388,
-18.56090736,-14.72080994,11.15802002,-0.654918,
-19.42429543,-14.710989,12.17065811,-0.626462,
-20.32712746,-14.71560287,13.15375328,-0.527082,
-21.18391418,-14.66134453,13.94943523,-0.379683,
-22.08910942,-14.59858799,14.70420837,-0.177079,
-22.96426582,-14.57777596,15.33049107,0.105644,
-23.90961838,-14.57810974,15.89946175,0.483858,
-24.82767677,-14.55163193,16.34901047,0.902853,
-25.76206398,-14.53403759,16.77726746,1.359552,
-26.70930481,-14.52112865,17.17000389,1.846498,
-27.66437721,-14.51006222,17.53029442,2.360571,
-28.62337494,-14.50060272,17.86456871,2.908962,
-29.58781052,-14.49460602,18.17824936,3.47654,
-30.55526543,-14.48895359,18.47359276,4.121438,
-31.52916527,-14.4850235,18.75242233,4.864946,
-32.50470734,-14.48303986,19.01424026,5.672954,
-33.48406601,-14.48201084,19.26169968,6.532809,
-34.46383667,-14.48137856,19.49609756,7.41305,
-35.4473381,-14.4826355,19.71943474,8.309759,
-36.43260193,-14.4846983,19.93107605,9.216333,
-37.42056274,-14.48686886,20.13137436,10.13056,
-38.41183853,-14.49007416,20.31968498,11.058803,
-39.40890121,-14.49379063,20.49369049,12.004984,
-40.4139595,-14.49771976,20.64788818,12.962393,
-41.43267822,-14.50031662,20.77246475,13.931465,
41.43648529,-15.50022984,20.77552414,14.262757,
40.41809082,-15.49605179,20.65851212,13.303778,
39.41347885,-15.49144745,20.51410294,12.366005,
38.41616058,-15.48785686,20.35273933,11.437978,
37.42193604,-15.48374557,20.1777668,10.513923,
36.43108368,-15.48204803,19.99088097,9.596347,
35.44221497,-15.48028946,19.79295349,8.684542,
34.4546051,-15.48121738,19.58348274,7.784026,
33.46929169,-15.48308754,19.36245346,6.912987,
32.48455811,-15.48761463,19.12845802,6.063111,
31.50195503,-15.49401093,18.88035202,5.240503,
30.52199173,-15.50469303,18.61851883,4.46233,
29.5413723,-15.51805782,18.33857918,3.756579,
28.56557465,-15.5357399,18.04021072,3.181227,
27.59306717,-15.55623627,17.72500229,2.638182,
26.61439896,-15.58730412,17.38119507,2.110136,
25.65024376,-15.62234783,17.01325607,1.613227,
24.68173409,-15.6817255,16.62262726,1.157818,
23.70934677,-15.7322216,16.17765045,0.724368,
22.75881767,-15.78799438,15.70375061,0.325685,
21.776474,-15.88260078,15.16510391,-0.012667,
20.79906273,-16.00405312,14.51238441,-0.270229,
19.84970856,-16.12519264,13.75426674,-0.439053,
18.8859005,-16.24526215,12.87482262,-0.529872,
17.93183899,-16.43334961,12.01899052,-0.584062,
16.86124611,-16.51711845,11.01723003,-0.653351,
15.71752167,-16.55265236,9.98962307,-0.743247,
14.65006065,-16.49321938,9.08704758,-0.830345,
13.34156322,-16.4194603,8.06544685,-0.876297,
12.34548378,-16.27306938,7.23620701,-0.860049,
11.1880312,-16.22250175,6.47652912,-0.817318,
10.2394619,-16.13048553,5.94284534,-0.810458,
9.09237862,-16.05201721,5.39267635,-0.816056,
8.14697838,-16.03615761,4.93523407,-0.725004,
7.18711329,-15.97063732,4.63916779,-0.768768,
6.06325865,-15.93911743,4.3222332,-0.760358,
5.14600897,-15.96247387,4.11042404,-0.73602,
4.09281349,-15.86480236,3.8942337,-0.765121,
3.07734299,-15.87432194,3.73217392,-0.741145,
2.1312325,-15.80904579,3.65229034,-0.777825,
1.01875174,-15.78184986,3.57149696,-0.772844,
0.07119112,-15.78720093,3.51984978,-0.741434,
-0.93958646,-15.74891472,3.5438118,-0.767356,
-1.96603251,-15.65536308,3.57389641,-0.792712,
-3.02210617,-15.61197567,3.59366798,-0.749777,
-3.94350195,-15.65590668,3.76067352,-0.779099,
-5.09026289,-15.64355373,3.94903755,-0.775577,
-6.04829359,-15.6075964,4.07326698,-0.725496,
-7.05200291,-15.51672745,4.31488037,-0.763389,
-8.15313053,-15.46691132,4.60740089,-0.763804,
-9.12864017,-15.49630737,4.95743465,-0.741711,
-10.19952297,-15.47430325,5.40202618,-0.76971,
-11.19920063,-15.4249258,5.87453747,-0.789902,
-12.22715092,-15.37928486,6.47332478,-0.857791,
-13.36781788,-15.47371578,7.26814556,-0.86071,
-14.39937401,-15.55348682,8.04401875,-0.840227,
-15.53073597,-15.66078281,9.07040787,-0.820321,
-16.52371597,-15.72031116,9.98639107,-0.758843,
-17.52918816,-15.74172783,11.03588676,-0.701119,
-18.4571228,-15.77766323,12.00869846,-0.612794,
-19.34986877,-15.76267529,12.9175148,-0.514567,
-20.22079277,-15.6890049,13.72650337,-0.406901,
-21.08980179,-15.64596748,14.48186207,-0.242738,
-21.98167419,-15.61059189,15.14979172,-0.002275,
-22.92490578,-15.58955669,15.71529102,0.343514,
-23.85097694,-15.57280922,16.17176056,0.750902,
-24.77802658,-15.54937744,16.59638214,1.176088,
-25.72504997,-15.53362465,16.99555588,1.638064,
-26.67801857,-15.52064323,17.35946846,2.139789,
-27.63627815,-15.50897026,17.69738007,2.664402,
-28.60193634,-15.50045776,18.01356506,3.207295,
-29.56927872,-15.49219704,18.30955124,3.780912,
-30.5417347,-15.4878397,18.58962822,4.481203,
-31.51740456,-15.48446655,18.85359573,5.255762,
-32.49677277,-15.48210812,19.10264015,6.075353,
-33.47696686,-15.48059368,19.33810234,6.921057,
-34.46021652,-15.48104954,19.56211662,7.790247,
-35.44481659,-15.4820919,19.77467155,8.68809,
-36.43149567,-15.48381329,19.97673035,9.597427,
-37.42156982,-15.48664284,20.16801071,10.514533,
-38.4133873,-15.48953915,20.34753418,11.435901,
-39.41338348,-15.4937458,20.51281357,12.366742,
