Time,Depth (mm),F_z (N)
0.0,0.0,0.0
27.40559196472168,-0.0549999901154254,0.0
54.811004638671875,-0.22799995587217503,-37.96164710812172
82.21659088134766,-0.5433737328577427,-91.98819238193457
109.6220474243164,-1.0489997556773138,-112.14261084826603
137.027587890625,-1.8548198537521337,-180.99600175696452
164.43309020996094,-3.142687539480373,-259.8248858209448
191.8385467529297,-4.549866543266813,-336.50002102176506
219.24400329589844,-6.007814203549452,-405.5990013216245
246.6495819091797,-7.525389947720788,-485.3019884614256
274.0550842285156,-9.108615610691164,-484.27145392715005
301.4605407714844,-10.768740123175968,-483.7922864239807
328.8660888671875,-12.498614311192178,-486.04965187282016
356.2715148925781,-14.025790129597048,-431.7848704778469
383.6770935058594,-15.330140943484079,-454.0637173960904
411.0826110839844,-16.47197597315819,-433.7820725955912
438.48809814453125,-17.47797525050321,-373.64818059360533
465.89349365234375,-18.360974461982707,-325.2370037117173
493.299072265625,-19.115973557660883,-265.4559099166713
520.7045288085938,-19.70797251128592,-230.9115186338183
548.1099853515625,1.1999208016533203e-05,0.0
