Time,Depth (mm),F_z (N)
0.0,0.0,0.0
11.42813491821289,-0.02699996343945486,-10.38265514210507
22.856260299682617,-0.11199986171437906,-58.19509905322161
34.28435516357422,-0.2609996519660601,-65.23847040564763
45.71244430541992,-0.48199929166913846,-65.02474403724652
57.140541076660156,-0.7879987575227971,-108.5506208320172
68.56867980957031,-1.1949980344615425,-119.78855906350738
79.99678802490234,-1.7283707207941572,-182.3565356538525
91.4249038696289,-2.427998678249304,-184.8651616737288
102.85298156738281,-3.3639633959890394,-198.24927363144178
114.28104400634766,-4.686975843573403,-294.578743915353
125.70912170410156,-6.349665081414772,-507.89237213805666
137.13720703125,-8.101206991839863,-580.4071735639263
148.56539916992188,-9.956755963835716,-633.9214977949528
159.9934539794922,-11.938976841502438,-706.4844094857203
171.42152404785156,-14.078953468560378,-731.6391806318039
182.8496551513672,-16.05982709846722,-475.20944109484793
194.27780151367188,-17.554924106847604,-553.8587646746216
205.70590209960938,-18.724851623163733,-396.4141512428355
217.1339874267578,-19.592938236003906,-292.5793182475177
228.56199645996094,-0.0013375107104875994,0.0
