Time,Depth (mm),F_z (N)
0.0,0.0,0.0
29.354021072387695,-0.09199993804702278,0.0
58.70807647705078,-0.39693040879928665,-102.24572677143564
88.06206512451172,-1.0339991331219185,-112.34107841154903
117.41605377197266,-2.2409936582221155,-187.59864369121124
146.77008056640625,-3.556126625008044,-320.24426187664807
176.1240997314453,-4.914046586524234,-283.1363482304455
205.47805786132812,-6.3199520506712386,-346.7240726339884
234.83200073242188,-7.777607381708917,-329.12207362893423
264.1860046386719,-9.294923657845464,-406.7325140354432
293.5400390625,-10.877538481830863,-457.8111731371454
322.8940734863281,-12.40558373350117,-404.70128193729295
352.2480773925781,-13.732906570831062,-473.83066617467637
381.6020202636719,-14.907900909986541,-371.20776036496744
410.9560546875,-15.963529403063715,-321.47177095871643
440.3100280761719,-16.916897937566944,-374.00022905393604
469.6640319824219,-17.77765263084681,-301.09877358610345
499.01806640625,-18.544889330292637,-259.92026932219744
528.3721313476562,-19.208887057495282,-258.9199453731096
557.72607421875,-19.736884436601024,-121.32288625394439
587.0800170898438,-0.03243703560256872,0.0
