Time,Depth (mm),F_z (N)
0.0,0.0,0.0
15.222005844116211,-0.09199987291420439,0.0
30.443819046020508,-0.3969994886028012,-28.22628159920885
45.66572570800781,-1.0339485863849691,-4.583243584162923
60.88770294189453,-2.2415755408278386,-222.54017455032218
76.10954284667969,-3.5578538326941227,-263.5999091021145
91.33147430419922,-4.915274504671228,-278.7586939892743
106.55335998535156,-6.321209987414482,-403.4933835565504
121.77526092529297,-7.778671275942301,-423.6880317082551
136.99716186523438,-9.296759012228065,-279.8487231582227
152.2190399169922,-10.878928726091571,-347.11388287491934
167.4409637451172,-12.406915769506586,-412.51444462221457
182.66287231445312,-13.73372082364396,-473.7682458889931
197.88473510742188,-14.90881485960702,-369.6181409501883
213.10662841796875,-15.964898138474712,-347.79597899254327
228.32859802246094,-16.917886429828464,-267.588357799292
243.5504150390625,-17.777955991871526,-314.6909109265362
258.7723388671875,-18.545884627208476,-373.22234915714404
273.9942932128906,-19.210196572078885,-324.241543500963
289.2161865234375,-19.73687500789746,-215.0413613624944
304.43798828125,-0.04038867441179139,0.0
